GlobalTime,SiteTime,time,station,site,moduleConfig,inputParamterVersion,SWversion,lotNum,barcode,sensorID,LensSN,vcmID,SPModuleSN,FlexureSN,standAlone,TestSW_Rev_NVM,LightAmount_Peak0_Neutral,vcm_um_Peak0_Neutral,LightAmount_Peak1_Neutral,vcm_um_Peak1_Neutral,LightAmount_Peak2_Neutral,vcm_um_Peak2_Neutral,LightAmount_Peak3_Neutral,vcm_um_Peak3_Neutral,vcm_um_targetpeak,
T220509182918594VCMCT8271T0,'20220509182934,'2022-05-09 18:29:39:289,VCMCT8271T01,1,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC171985ZU,17cc15170902,0x5240f961dcde6707,AS1C064034BBA531B536035025,AJ7C0722E35NB231B619,DNB21523054510A08A,0,0.0000000000,1449,-191.2320000000,1050,-0.0000000000,948,-0.0000000000,1225,-0.0000000000,-191.2320000000,
T220509182941302VCMCT8271T0,'20220509182957,'2022-05-09 18:30:02:129,VCMCT8271T01,7,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC121985ZZ,17cc15160543,0x5240ea61de7a1c01,AS1C064014BMA531B532044018,AJ7C0722E36NB131B625,DNB21523055270E09A,0,0.0000000000,1104,22.5280000000,1216,-0.0000000000,908,-0.0000000000,969,-0.0000000000,22.5280000000,
T220509183004003VCMCT8271T0,'20220509183020,'2022-05-09 18:30:25:359,VCMCT8271T01,6,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1W1985Z5,17cc15170211,0x5240f961dcde7403,AS1C064050H5C631A332035021,AJ8C072362BKB231B628,DNB21523054510L08A,0,0.0000000000,1181,-93.4400000000,1077,-0.0000000000,1103,-0.0000000000,446,-0.0000000000,-93.4400000000,
T220509183028014VCMCT8271T0,'20220509183042,'2022-05-09 18:30:47:729,VCMCT8271T01,3,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1V1985Z6,17cc15170282,0x5240f961dcdecb01,AS1C064040F0C631B131017008,AJ8C072363AAB131B632,DNB21523054780A05A,0,0.0000000000,1351,-55.0400000000,1131,-0.0000000000,963,-0.0000000000,455,-0.0000000000,-55.0400000000,
T220509183049651VCMCT8271T0,'20220509183106,'2022-05-09 18:31:11:069,VCMCT8271T01,2,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1Q1985ZB,17cc15170106,0x5240f961dcde4e01,AS1C0640239FA731A633016027,AJ8C072352J9B231B613,DNB21523053600D11A,0,0.0000000000,1154,-68.3520000000,1155,-0.0000000000,1008,-0.0000000000,1015,-0.0000000000,-68.3520000000,
T220509183113216VCMCT8271T0,'20220509183129,'2022-05-09 18:31:34:109,VCMCT8271T01,8,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1R1985ZA,17cc15170371,0x5240f961dcdea101,AS1C064034BJA531B032034007,AJ7C0722E35PB131B612,DNB21523054510A11A,0,0.0000000000,1521,-81.1520000000,1268,-0.0000000000,1062,-0.0000000000,1067,-0.0000000000,-81.1520000000,
T220509183136115VCMCT8271T0,'20220509183153,'2022-05-09 18:31:58:039,VCMCT8271T01,5,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1K1985ZG,17cc15170379,0x5240f961dedcae03,AS1C064023BEA731B133018026,AJ8C072342B7B431B626,DNB21523054510J05A,0,0.0000000000,1273,-117.2480000000,1313,-0.0000000000,949,-0.0000000000,1124,-0.0000000000,-117.2480000000,
T220509183159972VCMCT8271T0,'20220509183216,'2022-05-09 18:32:21:409,VCMCT8271T01,4,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1J1985ZH,17cc15170089,0x5240f961dcde5207,AS1C064060KMC631A729023038,AJ8C072352E4B131B631,DNB21523053120K09A,0,0.0000000000,1151,-129.0240000000,1052,-0.0000000000,923,-0.0000000000,1113,-0.0000000000,-129.0240000000,
T220509183223409VCMCT8271T0,'20220509183239,'2022-05-09 18:32:44:749,VCMCT8271T01,1,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1L1985ZF,17cc15170538,0x5240f961dcde6403,AS1C064040L0C631A837037035,AJ8C072362BJB331B621,DNB21523055220I10A,0,0.0000000000,1412,-192.0000000000,1036,-0.0000000000,1000,-0.0000000000,1227,-0.0000000000,-192.0000000000,
T220509183246816VCMCT8271T0,'20220509183302,'2022-05-09 18:33:07:489,VCMCT8271T01,7,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC261985ZS,17cc15170435,0x5240f961dcde7401,AS1C064033AFA731A337125054,AJ8C072342BCB331B627,DNB21523053120M09A,0,0.0000000000,1236,14.5920000000,1177,-0.0000000000,970,-0.0000000000,919,-0.0000000000,14.5920000000,
T220509183309454VCMCT8271T0,'20220509183326,'2022-05-09 18:33:30:829,VCMCT8271T01,6,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC2B1985ZM,17cc15170232,0x5240f961dedaa205,AS1C0640338JA731A932037100,AJ8C072352J2B331B626,DNB21523053600G14A,0,0.0000000000,1134,-128.7680000000,1183,-0.0000000000,1190,-0.0000000000,0,-0.0000000000,-128.7680000000,
T220509183333471VCMCT8271T0,'20220509183349,'2022-05-09 18:33:53:969,VCMCT8271T01,3,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC2C1985ZL,17cc15160576,0x5240ea61de7a1407,AS1C064014BBA531B031009025,AJ8C072363A3B431B626,DNB21523054780B01A,0,0.0000000000,1125,-60.9280000000,1201,-0.0000000000,904,-0.0000000000,1071,-0.0000000000,-60.9280000000,
T220509183355876VCMCT8271T0,'20220509183412,'2022-05-09 18:34:17:299,VCMCT8271T01,2,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC2F1985ZH,17cc15170260,0x5240f961dcde2f03,AS1C064032JGA731B035020039,AJ8C072362B6B231B633,DNB21523054510J12A,0,0.0000000000,1114,-62.2080000000,1126,-0.0000000000,914,-0.0000000000,1051,-0.0000000000,-62.2080000000,
T220509183419420VCMCT8271T0,'20220509183435,'2022-05-09 18:34:40:749,VCMCT8271T01,8,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC2G1985ZG,17cc15160145,0x5240f961dcde5501,AS1C064050ELC631B628002030,AJ8C072342BHB231B626,DNB21523053120L02A,0,0.0000000000,1602,-70.9120000000,1202,-0.0000000000,957,-0.0000000000,1061,-0.0000000000,-70.9120000000,
T220509183442653VCMCT8271T0,'20220509183458,'2022-05-09 18:35:03:199,VCMCT8271T01,5,DB_B_C3151,220217A,EPSSWEXCEPTION_POR_R21A_UDT_MFG_Laser_C315X_2nd_22042602_107404f,VTY841GRR465,GCF2174HC1U1985Z7,17cc15170462,0x5240f961dedcf901,AS1C064024D5A531B233128040,AJ7C0722E360B431B627,DNB21523055270E05A,0,0.0000000000,1185,-110.5920000000,1339,-0.0000000000,964,-0.0000000000,1104,-0.0000000000,-110.5920000000,
